customer_id,name,age,state,income_bracket,credit_score_band,score,grade
c2a7af9e-ab79-4005-add1-77d2c700d84c,Christopher Miller,99,Maine,90k+,Very Good,778,A
101cd468-5a5c-4689-a4c3-8c4119613698,Jason Nguyen,32,Texas,60k-90k,Excellent,805,A
fa900d46-88e1-4883-aa6f-30c077c8cd55,Michael Monroe,21,Rhode Island,<30k,Good,706,C
38c92c57-215c-48da-affe-6666fa72766d,Jennifer Martin,53,Oklahoma,90k+,Good,726,B
ade19b1a-5d3e-438b-bd9e-f14dabd69cb9,David Snyder,49,Hawaii,30k-60k,Very Good,764,A
ae54d496-33f8-4baf-bb05-a81d7d24563a,Donald Waller,46,Idaho,60k-90k,Fair,630,E
cc5604a3-3a48-4fd2-9dd1-8982aa8bfa01,Justin Johnson,35,Alaska,30k-60k,Poor,315,G
adb4bded-0a6c-4878-aedc-6fd57543afab,Kristen Chen,31,Mississippi,30k-60k,Excellent,830,A
248a141c-7ccb-4b72-bfcb-60e4f96b0e5c,Eric White,87,Texas,30k-60k,Fair,600,F
b5d23309-b6d2-490d-bd9f-0e25762c5366,Regina Williams,29,Oklahoma,30k-60k,Excellent,834,A
33756584-e354-4be7-b108-27306a6d28ec,Samantha Blair,93,New York,<30k,Very Good,754,B
892a486a-d560-4aa5-83d6-543d05f68f2f,Ryan Harrington,72,Virginia,<30k,Very Good,748,B
c55f009f-cfbd-4409-b775-537d77ef456c,Denise Peters,22,Washington,60k-90k,Good,720,B
8b65edca-fbab-4e12-b7d9-599af21248b3,Michele Blake,21,Oregon,60k-90k,Excellent,850,A
b45697ce-b2db-4a99-a602-6f9d2d1a44aa,Katherine Stanton,29,North Carolina,<30k,Good,739,B
49342bb1-2907-4b45-808e-57181bddf7cb,Bonnie Johnson,45,Connecticut,<30k,Very Good,758,B
d06d8b87-5066-4f5a-8044-030417c5b0ff,David Baldwin,47,Montana,90k+,Good,688,D
41b87546-daa2-46b6-a2d3-da15043be119,Sara Smith,82,Massachusetts,90k+,Fair,618,F
c50fc657-c7b1-42d0-84c2-070c4a8006eb,Devon Curtis,95,South Carolina,30k-60k,Very Good,783,A
e847ba9e-31bf-47aa-9e7c-a35e8c500dae,Rebekah Melendez,21,Florida,90k+,Good,717,C
fc601fee-51c7-4821-a190-d6804ac3053d,Stephanie Brown,89,Kansas,30k-60k,Fair,581,G
5b73e18c-3b44-4674-ba64-5ffda899e4b0,Amanda Holmes,43,Michigan,<30k,Excellent,835,A
ff92a26c-e534-4934-bc5c-c7d59e92fc89,Chad Rollins,87,Alaska,60k-90k,Good,688,D
604596a7-4b36-4e6e-9ea4-b9b8de933d80,Elizabeth Rodriguez,71,Ohio,90k+,Good,685,D
989dff47-7c27-42dc-9dc9-861c754ce90f,Tina Russell,46,Missouri,60k-90k,Fair,585,G
f2f15dd0-5436-45b3-b89f-3c8047c7868c,Tracy Adams,75,Colorado,60k-90k,Good,670,D
0dfe17ff-030e-4567-b43c-9f0efbf74fab,Isaac Lopez,93,Kentucky,90k+,Good,720,B
b65f2d6f-a6e7-4a88-b324-ba9424952502,Randy Rubio,53,Vermont,30k-60k,Very Good,774,A
d13e6de5-4ac5-4b72-ba5c-66cc1332c0c4,Luis Turner,18,Florida,30k-60k,Fair,650,E
dc002033-e95e-4a59-8670-026dcb1f142d,Natalie Mcgee,38,Tennessee,30k-60k,Excellent,805,A
fbfa70a2-348d-4feb-a05a-ca135ed1fefa,Dustin Jackson,72,California,90k+,Excellent,819,A
bfbccef6-a1ef-4fe0-a2e2-43fee14d028a,Jasmine Simmons,61,Missouri,30k-60k,Fair,606,F
e709524e-54b2-49c6-9be9-721f80e65087,Michael Bryant,53,Montana,90k+,Very Good,787,A
c2279e86-4adb-4c4d-964f-9f3f58ef37e4,Mary Burke,37,South Dakota,90k+,Excellent,847,A
afb0d1b7-7a7b-4282-b1e2-1d9fc3f11606,Jon Chambers,45,New Hampshire,90k+,Good,714,C
66272a7c-df1e-4c2a-a6d1-b6173397f360,Victor Castro,61,New Mexico,<30k,Very Good,753,B
39a8f449-de18-4f95-92df-f0ebc15361bd,Matthew Hancock,31,Kentucky,30k-60k,Very Good,766,A
4d2de388-3de0-4bb6-932e-61fbeeacc3e2,Amy Conner,29,Florida,90k+,Good,735,B
ede9ddb4-c415-4ca7-8cc3-2965e477a285,Spencer Erickson,66,Montana,30k-60k,Good,688,D
019d605e-52dc-4d00-8d1a-79096a28a505,Glenn Williams,30,Arizona,30k-60k,Fair,600,F
b4d447fe-9741-46db-a142-68298fb1b338,Sean Smith,63,West Virginia,30k-60k,Very Good,751,B
68717a91-7c77-4929-995f-946f2a63a214,Erik Graham,62,New Mexico,90k+,Very Good,754,B
602476b2-77db-4f34-9dff-f3bbf2f315e3,Ronald Hayes,95,Idaho,30k-60k,Good,702,C
0640e0f8-eb36-48c5-84ee-9e7865898626,Brandon Thomas,51,West Virginia,90k+,Very Good,752,B
e5583409-f06f-4445-8c58-9eb6fc58a54c,Trevor Rodgers,23,Washington,90k+,Excellent,807,A
33a1f47d-dc41-489f-8b38-4f860c31d139,Vincent Davis,76,Georgia,60k-90k,Poor,392,G
33328aff-57f6-434a-9a78-c2143377bdba,Jennifer Russell,86,Colorado,<30k,Excellent,842,A
130cd773-1931-4603-a408-4bb1e1eda9da,Gina Crawford,33,New York,90k+,Good,676,D
fdaee43a-4487-4dc7-8c82-87fb221d7a3c,Paul Castro,66,New Mexico,<30k,Excellent,848,A
1a31a469-5735-4196-8e9f-143f359587c6,Thomas Roberts,28,Utah,90k+,Excellent,835,A
0d51e2bf-a1bc-41fc-b5da-ba2bba021818,Lisa Howell,88,Mississippi,30k-60k,Poor,536,G
bf2128b1-c426-4258-a7af-f5ea28a5d9ee,Jennifer Smith,55,California,<30k,Excellent,841,A
db90e2b4-9750-4a7f-9db4-cb95ec83c904,Johnny Turner,98,Nevada,90k+,Very Good,775,A
478cd64b-7d1a-4627-95db-961e2b2521e9,Vincent Riley,97,Utah,<30k,Fair,589,G
4578d402-3758-44ae-b98c-b2b6b7e4c3fe,Michael Johns,64,Pennsylvania,90k+,Very Good,758,B
051514b2-9ece-42cf-8421-460d9cb573a9,Deborah Banks,91,Florida,<30k,Excellent,842,A
c35dc88e-24dc-4fd3-806a-5e5c3cce0e26,Stephen Hill,42,New York,<30k,Good,678,D
85ab217d-87d3-4ba0-9c60-739dc5afcf78,Colton Johnson PhD,26,South Carolina,90k+,Poor,428,G
2af0afaa-7a57-43a3-bb84-f753704e25a8,Joshua Brewer,23,New Mexico,90k+,Good,682,D
84b971c5-d63c-4dc0-83ac-901fc8bb2066,Duane Kaiser,47,Massachusetts,<30k,Very Good,752,B
eea45581-c631-4617-b435-4bde6800b569,Andrew Pruitt,55,Ohio,90k+,Excellent,846,A
d946205d-e065-446b-a73a-133600ccf33f,Shawn Weaver,28,Missouri,30k-60k,Good,732,B
753bea92-fb53-4b45-be22-8a53081c23ba,April Hill,47,California,60k-90k,Good,712,C
0fe7682f-9b24-49d5-bf67-f820fec663ba,Pamela Alexander,30,Alabama,30k-60k,Very Good,762,A
6369850d-ad24-4a17-ac46-8a48e3a5709e,William Fletcher,66,New Hampshire,<30k,Very Good,748,B
7bc5705c-b348-4ec1-bf7e-d04b1192c751,Kevin Martin,53,Ohio,30k-60k,Excellent,842,A
a361bce9-b7cb-467d-873f-df37ffceaa75,Richard Hayes,76,Maine,60k-90k,Fair,663,D
1af8c7e6-6c0e-4895-8628-d98737f6ec92,Rebecca Hicks,99,Minnesota,60k-90k,Very Good,755,B
4aa7723c-cb69-4f10-a1e9-efe3ddc0069c,Christina Fernandez,64,Georgia,90k+,Good,682,D
3af49a01-d216-46c5-9471-016f36d0cb69,Andrew White,38,Maine,60k-90k,Excellent,818,A
3929be1b-0241-44ef-b900-0f2e56abe49c,Nathan Kelly,65,Wisconsin,90k+,Good,678,D
c91f2ace-951c-400a-83ba-2a89ef282575,Thomas Miller,63,Maryland,30k-60k,Very Good,797,A
09c72648-23bb-4d74-9ae2-d415bdf12ab1,Amy Dudley,44,Washington,60k-90k,Very Good,752,B
7932b9d1-ec6f-4655-bff8-4b588b8e81c0,Austin Roberts,52,Washington,60k-90k,Very Good,760,A
a609816c-f8ce-4202-9fc7-bf202685d24c,Dean Gonzalez,27,West Virginia,<30k,Poor,548,G
b54fe25b-b9a4-484a-a715-fe009eda1246,Monica Scott,95,Vermont,60k-90k,Good,727,B
6cb59dfb-c396-43c2-a0de-1876b10d81f4,Mark Glover,99,Maine,30k-60k,Good,712,C
db140084-9a4e-450c-9a21-85543233f02c,Rachael Hernandez,39,Montana,<30k,Very Good,779,A
412b8ff7-1baf-4539-97d1-34703c689ab1,Ricky Jones,86,Alabama,<30k,Fair,664,D
523e94ff-e8f0-46b2-a6f4-51765016f15f,Scott Lopez,49,Ohio,90k+,Very Good,759,B
6f03f699-7c41-482b-84ca-77b9f0d5b7a2,Daniel Byrd,38,New Hampshire,90k+,Very Good,784,A
2441a2d1-2e62-443c-b6f0-32eb9dd2cb4a,Mary Weaver,77,California,60k-90k,Good,689,D
